24.16.78.9 - - [19/Mar/2014:01:07:13 -0500] "GET /HNAP1/ HTTP/1.1" 404 963
0:0:0:0:0:0:0:1%0 - - [19/Mar/2014:09:27:14 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?realTimeSystem=email&traderID=Jason&newTrade=Bought+10000+FNMA+at+3.23 HTTP/1.1" 200 193
0:0:0:0:0:0:0:1%0 - - [19/Mar/2014:09:28:07 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?realTimeSystem=email&traderID=Jason+Bond&newTrade=Bought+10000+FNMA+at+3.23 HTTP/1.1" 200 160
127.0.0.1 - - [19/Mar/2014:09:35:35 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [19/Mar/2014:09:35:41 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?startUp=true HTTP/1.1" 200 138
0:0:0:0:0:0:0:1%0 - - [19/Mar/2014:09:59:49 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?realTimeSystem=email&traderID=Jason+Bond&newTrade=bought+10000+MEET+at+3.55 HTTP/1.1" 200 198
0:0:0:0:0:0:0:1%0 - - [19/Mar/2014:09:59:50 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?realTimeSystem=email&traderID=Jason&newTrade=Bought+10000+MEET+at+3.55 HTTP/1.1" 500 1534
0:0:0:0:0:0:0:1%0 - - [19/Mar/2014:09:59:52 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?realTimeSystem=email&traderID=Jason&newTrade=Bought+10000+MEET+at+3.55 HTTP/1.1" 200 193
0:0:0:0:0:0:0:1%0 - - [19/Mar/2014:10:10:20 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?realTimeSystem=email&traderID=Jason+Bond&newTrade=Bought+1+MEET+at+3.5 HTTP/1.1" 200 287
0:0:0:0:0:0:0:1%0 - - [19/Mar/2014:12:51:56 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?realTimeSystem=email&traderID=Jason+Bond&newTrade=Bought+10000+OPTT+at+4.37 HTTP/1.1" 200 198
0:0:0:0:0:0:0:1%0 - - [19/Mar/2014:12:56:15 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?realTimeSystem=email&traderID=Jason&newTrade=Bought+10000+OPTT+at+4.37 HTTP/1.1" 200 155
89.23.227.16 - - [19/Mar/2014:13:30:31 -0500] "GET /HNAP1/ HTTP/1.1" 404 963
1.245.107.254 - - [19/Mar/2014:13:35:36 -0500] "GET /manager/html HTTP/1.1" 404 975
1.245.107.254 - - [19/Mar/2014:13:35:37 -0500] "GET /859454666/index.jsp HTTP/1.1" 404 989
1.245.107.254 - - [19/Mar/2014:13:35:37 -0500] "GET /maque66959401/index.jsp HTTP/1.1" 404 997
1.245.107.254 - - [19/Mar/2014:13:35:37 -0500] "GET /AAAAAAAAAAAAAAAAAAAAuper/index.jsp HTTP/1.1" 404 1019
1.245.107.254 - - [19/Mar/2014:13:35:38 -0500] "GET /11/index.jsp HTTP/1.1" 404 975
1.245.107.254 - - [19/Mar/2014:13:35:38 -0500] "GET /33/index.jsp HTTP/1.1" 404 975
1.245.107.254 - - [19/Mar/2014:13:35:39 -0500] "GET /a/index.jsp HTTP/1.1" 404 973
1.245.107.254 - - [19/Mar/2014:13:35:39 -0500] "GET /shl/index.jsp HTTP/1.1" 404 977
1.245.107.254 - - [19/Mar/2014:13:35:40 -0500] "GET /859454666/index.jsp HTTP/1.1" 404 989
1.245.107.254 - - [19/Mar/2014:13:35:40 -0500] "GET /QQ374666283/index.jsp HTTP/1.1" 404 993
1.245.107.254 - - [19/Mar/2014:13:35:41 -0500] "GET /cwx/index.jsp HTTP/1.1" 404 977
1.245.107.254 - - [19/Mar/2014:13:35:41 -0500] "GET /windows/index.jsp HTTP/1.1" 404 985
1.245.107.254 - - [19/Mar/2014:13:35:42 -0500] "GET /1/index.jsp HTTP/1.1" 404 973
1.245.107.254 - - [19/Mar/2014:13:35:42 -0500] "GET /webdax/index.jsp HTTP/1.1" 404 983
1.245.107.254 - - [19/Mar/2014:13:35:42 -0500] "GET /5211111111111/index.jsp HTTP/1.1" 404 997
1.245.107.254 - - [19/Mar/2014:13:35:43 -0500] "GET /QQ443076142/index.jsp HTTP/1.1" 404 993
1.245.107.254 - - [19/Mar/2014:13:35:43 -0500] "GET /safe2/index.jsp HTTP/1.1" 404 981
1.245.107.254 - - [19/Mar/2014:13:35:44 -0500] "GET /webdoc/index.jsp HTTP/1.1" 404 983
1.245.107.254 - - [19/Mar/2014:13:35:44 -0500] "GET /system2/index.jsp HTTP/1.1" 404 985
1.245.107.254 - - [19/Mar/2014:13:35:45 -0500] "GET /system/index.jsp HTTP/1.1" 404 983
1.245.107.254 - - [19/Mar/2014:13:35:45 -0500] "GET /apache-tomcat/index.jsp HTTP/1.1" 404 997
1.245.107.254 - - [19/Mar/2014:13:35:46 -0500] "GET /Micrsyse2m/index.jsp HTTP/1.1" 404 991
1.245.107.254 - - [19/Mar/2014:13:35:46 -0500] "GET /Tomcatmansagxesaasxsas/index.jsp HTTP/1.1" 404 1015
