68.185.12.131 - - [03/Oct/2013:06:25:05 -0500] "GET /HNAP1/ HTTP/1.1" 404 963
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:06:42:31 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=super_trades&newTrade=joined+the+chat HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:06:51:11 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=super_trades&newTrade=left+the+chat HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:07:07:01 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=super_trades&newTrade=%5Bcommentary%5D+Posted+a+New+Watchlist%3A+%24MZOR+buy+alert+%2418+and+it+closed+%2418.99+Plus+Other+WINNERS+%24AEHR+%24CCIH+%24CCSC+%24ATTU+-+http%3A%2F%2Fprofit.ly%2Fcontent%2Fpremium%2F6710 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:07:25:54 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=super_trades&newTrade=joined+the+chat HTTP/1.1" 200 -
111.73.45.116 - - [03/Oct/2013:08:10:31 -0500] "GET /proxy.txt HTTP/1.1" 404 969
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:08:16:55 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=super_trades&newTrade=left+the+chat HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:08:28:38 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=TimAlerts&newTrade=09%2F06+Bought+7000+shares+HMNY+at+7.2214+-+Smallest+float+into+big+data....mental+stop+loss+is+6+and+target+8-10++if+it+works+%3Cbr%3E HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:08:28:41 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?startUp=Start! HTTP/1.1" 200 19
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:08:29:04 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?startUp=Start! HTTP/1.1" 200 19
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:08:29:20 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=TimAlerts&newTrade=09%2F06+Bought+7000+shares+HMNY+at+7.2214+-+Smallest+float+into+big+data....mental+stop+loss+is+6+and+target+8-10++if+it+works+%3Cbr%3E HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:08:29:22 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?startUp=Start! HTTP/1.1" 200 19
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:08:29:37 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=super_trades&newTrade=joined+the+chat HTTP/1.1" 200 -
75.13.82.129 - - [03/Oct/2013:08:31:19 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=SuperAlerts&newTrade=[trade]%20Bought%204%20shares%20RVLT%20at%203.77%20-%20Bought%20this%20earnings%20winner,%20they%20announced%20great%20 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:08:41:57 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=SuperAlerts&newTrade=09%2F06+Bought+7000+shares+HMNY+at+7.2214+-+Smallest+float+into+big+data....mental+stop+loss+is+6+and+target+8-10++if+it+works+%3Cbr%3E HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:08:42:57 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=super_trades&newTrade=%5Btrade%5D+Bought+3000+shares+EVOK+at+12.25+-+Same+bank+that+did+mega+winners+did+this+STML+ADHD+CGIX+HTBX....target+13-15+...mental+stop+11.80+ish+ HTTP/1.1" 200 13
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:08:56:59 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:08:56:59 -0500] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:09:34:33 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=timothysykes&newTrade=joined+the+chat HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:09:46:17 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=super_trades&newTrade=joined+the+chat HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:09:54:37 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=super_trades&newTrade=left+the+chat HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:10:31:45 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=timothysykes&newTrade=%5Bcommentary%5D+I+see+no+great+trades+but+this+is+a+great+video+of+VUZI's+new+NTT+Docomo+product+http%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3D3noqSW3XvrQ+help+you+better+understand+how+useful+this+tech+can+be HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:10:55:56 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=timothysykes&newTrade=%5Bcommentary%5D+It's+been+2.5+years+since+this+http%3A%2F%2Ftim.ly%2F1bA0KkB+but+this+6-hour+video+I+filmed+there+is+still+GREAT+to+watch+http%3A%2F%2Ftim.ly%2Fmoscowtim HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:11:36:47 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=super_trades&newTrade=%5Btrade%5D+Sold+2000+of+PNTR+at+5.5.+8000+long+remaining HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:12:15:24 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=super_trades&newTrade=left+the+chat HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:12:33:47 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=timothysykes&newTrade=left+the+chat HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:13:21:27 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=super_trades&newTrade=joined+the+chat HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:13:33:45 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=super_trades&newTrade=%5Btrade%5D+Sold+4000+of+PNTR+at+5.5.+4000+long+remaining HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:13:44:28 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=timothysykes&newTrade=joined+the+chat HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:13:48:14 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=timothysykes&newTrade=%5Bcommentary%5D+NEW+VIDEO+http%3A%2F%2Ftim.ly%2F1f2Wvlw+Please+click+like+%26+congratulate+here+http%3A%2F%2Ftim.ly%2F1g7U8ge+my+http%3A%2F%2Ftim.ly%2Fsykesmc+student+W+Kulmann+for+turning+%2435k+into+%24319k+in+the+first+9+months+of+2013%2C+see+his+trades+here%3A+http%3A%2F%2Fprofit.ly%2Fuser%2Fwkulmann HTTP/1.1" 200 -
127.0.0.1 - - [03/Oct/2013:14:57:27 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=TimAlerts&newTrade=09%2F06+Bought+7000+shares+HMNY+at+7.2214+-+Smallest+float+into+big+data....mental+stop+loss+is+6+and+target+8-10++if+it+works+%3Cbr%3E HTTP/1.1" 200 -
127.0.0.1 - - [03/Oct/2013:14:58:27 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=timothysykes&newTrade=%5Btrade%5D+Bought+21000+shares+EDAP+at+3.41+-+Bought+today's+earnings+winner+as+it's+running+into+the+close%2C+this+should+spike+a+bit+more+as+it's+into+robotics%2C+hot+sector%2C+cheap+price%2C+good+%23s%2C+goal+is+to+make+10-20%25 HTTP/1.1" 200 13
127.0.0.1 - - [03/Oct/2013:15:03:56 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=super_trades&newTrade=left+the+chat HTTP/1.1" 200 -
127.0.0.1 - - [03/Oct/2013:15:06:08 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=timothysykes&newTrade=%5Bcommentary%5D+Sold+a+little+EDAP+due+to+weird+big+sellers+into+the+market+close%2C+still+holding+a+lot+overnight HTTP/1.1" 200 -
127.0.0.1 - - [03/Oct/2013:15:06:09 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=timothysykes&newTrade=%5Btrade%5D+Sold+4800+of+EDAP+at+3.445.+16200+long+remaining HTTP/1.1" 200 -
127.0.0.1 - - [03/Oct/2013:15:22:01 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=timothysykes&newTrade=left+the+chat HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:20:37:33 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=SuperAlerts&newTrade=[trade]%20Bought%204%20shares%20RVLT%20at%203.77%20-%20Bought%20this%20earnings%20winner,%20they%20announced%20great%20 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:20:37:33 -0500] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [03/Oct/2013:20:38:24 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [03/Oct/2013:20:38:29 -0500] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=SuperAlerts&newTrade=[trade]%20Bought%204%20shares%20RVLT%20at%203.77%20-%20Bought%20this%20earnings%20winner,%20they%20announced%20great%20 HTTP/1.1" 200 13
